piid,agency,vendor,value,description_doge,fpds_status,fpds_link,deleted_date,savings,award_agency,award_procurement_id,award_modification_num,ref_idv_agency,ref_idv_procurement_id,ref_idv_modification_num,date_signed,date_effective,date_complete,date_ult_complete_est,date_solicitation,amount_obligated,amount_obligated_total,amount_base_exercised_options,amount_base_exercised_options_total,amount_ultimate,amount_ultimate_total,entity_id,entity_name,entity_dba,cage_code,entity_street,entity_street_2,entity_city,entity_state,entity_zip,entity_county,entity_county_disp,entity_phone,entity_fax,entity_congressional_district,product_service_code,product_service_desc,principal_naics_code,principal_naics_desc,performance_state,performance_location,performance_country,performance_county,performance_city,performance_congressional_district,performance_zip,performance_zip_ext,requirement_desc,dt_scrape
80NSSC24FA260,National Aeronautics and Space Administration,"IMMIXTECHNOLOGY, INC.",38454,This order is for Digimat software and support maintenance.,Expired,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC24FA260&modNumber=0&idvAgencyID=&idvPIID=NNG15SC39B&contractType=AWARD,3/20/2025,38454,8000,80NSSC24FA260,0,8000,NNG15SC39B,44,02/05/2024,03/01/2024,02/28/2025,02/28/2025,,38454.11,,38454.11,,38454.11,,L6REMB5VKLL9,"IMMIXTECHNOLOGY, INC.",,3CA29,8444 WESTPARK DR STE 200,,MCLEAN,VA,221025112,USA,UNITED STATES,(703) 752-0631,(703) 752-0611,VIRGINIA 11,R499,SUPPORT- PROFESSIONAL: OTHER,541519.0,OTHER COMPUTER RELATED SERVICES,VA,,USA,FAIRFAX,MCLEAN,,22102,5112.0,,2025-04-04-0017
80HQTR24F0071,National Aeronautics and Space Administration,BARRIOS TECHNOLOGY LTD,82838,The project aims to enhance administrative operations and optimize efficiency within ODEO by leveraging the expertise of an Administrative Operations Specialist.,Expired,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80HQTR24F0071&modNumber=P00001&idvAgencyID=&idvPIID=80MSFC21D0009&contractType=AWARD,3/20/2025,82838,8000,80HQTR24F0071,P00001,8000,80MSFC21D0009,P00057,03/13/2025,08/01/2024,01/22/2025,01/22/2025,07/03/2024,0.0,82838.19,0.0,82838.19,0.0,82838.19,EHD6UHNJVH66,BARRIOS TECHNOLOGY LTD,,1J044,13100 SPACE CENTER BLVD,STE 650,HOUSTON,TX,770593658,USA,UNITED STATES,(281) 280-1910,(281) 280-1910,TEXAS 36,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,541715.0,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",TX,,USA,HARRIS,HOUSTON,,77059,3658.0,,2025-04-04-0017
80HQTR24F0074,National Aeronautics and Space Administration,BARRIOS TECHNOLOGY LTD,82838,Will be responsible for overseeing and managing the successful execution of special projects,Expired,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80HQTR24F0074&modNumber=P00001&idvAgencyID=&idvPIID=80MSFC21D0009&contractType=AWARD,3/20/2025,82838,8000,80HQTR24F0074,P00001,8000,80MSFC21D0009,P00057,03/13/2025,08/01/2024,01/22/2025,01/22/2025,07/03/2024,0.0,82838.19,0.0,82838.19,0.0,82838.19,EHD6UHNJVH66,BARRIOS TECHNOLOGY LTD,,1J044,13100 SPACE CENTER BLVD,STE 650,HOUSTON,TX,770593658,USA,UNITED STATES,(281) 280-1910,(281) 280-1910,TEXAS 36,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,541715.0,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",TX,,USA,HARRIS,HOUSTON,,77059,3658.0,,2025-04-04-0017
80HQTR24F0070,National Aeronautics and Space Administration,BARRIOS TECHNOLOGY LTD,122313,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Expired,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80HQTR24F0070&modNumber=P00001&idvAgencyID=&idvPIID=80MSFC21D0009&contractType=AWARD,3/20/2025,122313,8000,80HQTR24F0070,P00001,8000,80MSFC21D0009,P00057,03/13/2025,08/01/2024,01/22/2025,01/22/2025,06/12/2024,0.0,112312.76,0.0,122312.76,0.0,122312.76,EHD6UHNJVH66,BARRIOS TECHNOLOGY LTD,,1J044,13100 SPACE CENTER BLVD,STE 650,HOUSTON,TX,770593658,USA,UNITED STATES,(281) 280-1910,(281) 280-1910,TEXAS 36,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,541715.0,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",TX,,USA,HARRIS,HOUSTON,,77059,3658.0,,2025-04-04-0017
80HQTR24F0064,National Aeronautics and Space Administration,BARRIOS TECHNOLOGY LTD,129377,Coordinate and support the utilization of MSDs Risk Management Plan and agency procedural documents and provide analysis and recommendation support to assist with MSD Risk Management.,Expired,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80HQTR24F0064&modNumber=P00003&idvAgencyID=&idvPIID=80MSFC21D0009&contractType=AWARD,3/20/2025,129377,8000,80HQTR24F0064,P00003,8000,80MSFC21D0009,P00057,03/21/2025,06/24/2024,03/21/2025,03/21/2025,05/01/2024,0.0,129377.08,0.0,129377.08,0.0,129377.08,EHD6UHNJVH66,BARRIOS TECHNOLOGY LTD,,1J044,13100 SPACE CENTER BLVD,STE 650,HOUSTON,TX,770593658,USA,UNITED STATES,(281) 280-1910,(281) 280-1910,TEXAS 36,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,541715.0,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",TX,,USA,HARRIS,HOUSTON,,77059,3658.0,,2025-04-04-0017
80HQTR24F0046,National Aeronautics and Space Administration,BARRIOS TECHNOLOGY LTD,261854,"STRATEGIC PLANNING, ANALYSIS, AND PROGRAMMATIC SUPPORT FOR.PLANETARY SCIENCES DIVISION.HQ SCIENCE MISSION DIRECTORATE",Expired,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80HQTR24F0046&modNumber=P00002&idvAgencyID=&idvPIID=80MSFC21D0009&contractType=AWARD,3/20/2025,261854,8000,80HQTR24F0046,P00002,8000,80MSFC21D0009,P00057,03/13/2025,04/16/2024,01/22/2025,01/22/2025,12/13/2023,0.0,226082.84,0.0,261854.32,0.0,261854.32,EHD6UHNJVH66,BARRIOS TECHNOLOGY LTD,,1J044,13100 SPACE CENTER BLVD,STE 650,HOUSTON,TX,770593658,USA,UNITED STATES,(281) 280-1910,(281) 280-1910,TEXAS 36,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,541715.0,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",TX,,USA,HARRIS,HOUSTON,,77059,3658.0,,2025-04-04-0017
80NSSC24PC049,National Aeronautics and Space Administration,SOCIETY OF WOMEN ENGINEERS,33100,Recruiting: Society of Women Engineers (SWE) Corporate Partnership Council and participation in associated recruiting events,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC24PC049&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,3/20/2025,33100,8000,80NSSC24PC049,P00002,,,,03/06/2025,08/01/2024,03/06/2025,03/06/2025,,0.0,33100.0,0.0,33100.0,0.0,33100.0,G389SLC891D3,SOCIETY OF WOMEN ENGINEERS,,055N8,130 E RANDOLPH STREET 3500,,CHICAGO,IL,606016314,USA,UNITED STATES,(312) 883-0844,(312) 883-0844,ILLINOIS 07,R699,SUPPORT- ADMINISTRATIVE: OTHER,813920.0,PROFESSIONAL ORGANIZATIONS,IL,,USA,COOK,CHICAGO,,60601,6314.0,,2025-04-04-0017
80NSSC24PA492,National Aeronautics and Space Administration,IMMIXTECHNOLOGY INC,38454,This order is for digitmat software and support maintenance.,NOT FOUND IN FPDS,,3/20/2025,38454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-04-0017
5000204257,Department of Treasury,,35000000,Modernization - UITP,,,3/20/2025,35000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-04-0017
5000209528,Department of Treasury,,4000000,Modernization - UITP,,,3/20/2025,4000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-04-0017
5000202491,Department of Treasury,,32000000,Modernization - UITP,,,3/20/2025,32000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-04-0017
5000205293,Department of Treasury,,5600000,Modernization - VDI,,,3/20/2025,5600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-04-0017
5000204724,Department of Treasury,,5700000,Modernization - VDI,,,3/20/2025,5700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-04-0017
5000206788,Department of Treasury,,29600000,Modernization - Ops Trans,,,3/20/2025,29600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-04-0017
47QFDA25F0006,General Services Administration,"ICF INCORPORATED, L.L.C.",490585,EPA ENERGY STAR RECOGNITION SUPPORT,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=4732&PIID=47QFDA25F0006&modNumber=P00001&idvAgencyID=&idvPIID=47QFDA21A0006&contractType=AWARD,3/20/2025,107914,4732,47QFDA25F0006,P00001,4732,47QFDA21A0006,P00004,12/23/2024,12/23/2024,03/14/2025,03/14/2025,10/17/2024,0.0,382671.12,0.0,490585.4,0.0,490585.4,QHBLBNKKV4U3,"ICF INCORPORATED, L.L.C.",,5M571,9300 LEE HWY,,FAIRFAX,VA,220316050,USA,UNITED STATES,(703) 934-3484,(703) 218-2547,VIRGINIA 11,R499,SUPPORT- PROFESSIONAL: OTHER,541611.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,DC,,USA,DISTRICT OF COLUMBIA,WASHINGTON,,20460,1.0,,2025-04-04-0017
47PD0225F0009,General Services Administration,"WDP & ASSOCIATES CONSULTING ENGINEERS, INC.",135065,"DESIGN FOR THE OWEN A PICKETT FENCE CUSTOMHOUSE CAST IRON FENCE RESTORATION NORFOLK, VA.",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=4740&PIID=47PD0225F0009&modNumber=PA0001&idvAgencyID=&idvPIID=47PD0123D0001&contractType=AWARD,3/20/2025,35782,4740,47PD0225F0009,PA0001,4740,47PD0123D0001,0,03/19/2025,01/13/2025,08/01/2025,08/01/2025,06/21/2024,0.0,99283.05,0.0,99283.05,0.0,135064.96,DLJ7HPLXKNG1,"WDP & ASSOCIATES CONSULTING ENGINEERS, INC.",,1KZR5,10621 GATEWAY BLVD STE 200,,MANASSAS,VA,201102055,USA,UNITED STATES,(703) 257-9280,(571) 292-9842,VIRGINIA 10,C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",541330.0,ENGINEERING SERVICES,VA,,USA,MANASSAS CITY,MANASSAS,,20110,2055.0,,2025-04-04-0017
75ACF123F80013,Department of Health and Human Services,"KAUFFMAN & ASSOCIATES, INC.",624920,"TASK ORDER 75ACF123F80013 IS FOR CONFERENCE LOGISTICAL SUPPORT SERVICES FOR THE SUCCESSFUL PREPARATION, EXECUTION, AND FOLLOW-UP ACTIVITIES FOR THE 24TH NATIONAL CONFERENCE ON CHILD ABUSE AND NEGLECT (NCCAN).",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7590&PIID=75ACF123F80013&modNumber=P00002&idvAgencyID=&idvPIID=GS00F0012S&contractType=AWARD,3/20/2025,0,7590,75ACF123F80013,P00002,4730,GS00F0012S,PA0053,03/19/2025,09/30/2023,09/29/2025,09/29/2025,07/27/2023,0.0,624920.16,0.0,624920.16,0.0,624920.16,RSALNLGDVE29,"KAUFFMAN & ASSOCIATES, INC.",,1XVZ0,421 W RIVERSIDE AVE STE 450,,SPOKANE,WA,992010410,USA,UNITED STATES,(509) 747-4994,(509) 747-5030,WASHINGTON 05,R699,SUPPORT- ADMINISTRATIVE: OTHER,541611.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,WA,,USA,SPOKANE,SPOKANE,,99201,410.0,,2025-04-04-0017
Unavailable,USAID,Unavailable,765962,Unavailable for legal reasons,Unavailable,https://fpds.gov,3/20/2025,428932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-04-0017
36C25624P0448,Department of Veterans Affairs,"VINYARD MANAGEMENT GROUP, INC.",132163,CONSULTING SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C25624P0448&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,3/20/2025,33500,3600,36C25624P0448,P00002,,,,03/19/2025,01/15/2024,02/25/2025,02/25/2025,12/11/2023,-114937.5,98662.5,-114937.5,98662.5,-114937.5,132162.5,FPKKU6AN4PJ3,"VINYARD MANAGEMENT GROUP, INC.",,1RVB9,1417 WATERFORD GREEN DR,,MARIETTA,GA,300682910,USA,UNITED STATES,(770) 329-3791,(770) 518-4692,GEORGIA 06,R410,SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT,541611.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,LA,,USA,ORLEANS,NEW ORLEANS,,70119,4701.0,,2025-04-04-0017
70B06C24F00000154,Department of Homeland Security,GTANGIBLE CORPORATION,303490,WAREHOUSE LOGISTICS SUPPORT,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7014&PIID=70B06C24F00000154&modNumber=P00002&idvAgencyID=&idvPIID=HSHQDC16DP2004&contractType=AWARD,3/20/2025,0,7014,70B06C24F00000154,P00002,7001,HSHQDC16DP2004,0,03/19/2025,02/25/2024,03/13/2025,03/13/2025,01/30/2024,-74341.48,303490.48,-74341.48,303490.48,-74341.48,303490.48,CJTLQH586UB5,GTANGIBLE CORPORATION,,5ST11,2800 EISENHOWER AVE STE 104,,ALEXANDRIA,VA,223144584,USA,UNITED STATES,(571) 351-5934,(703) 822-5460,VIRGINIA 08,R706,SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,541611.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,VA,,USA,ALEXANDRIA CITY,ALEXANDRIA,,22314,4584.0,,2025-04-04-0017
75R60224F34005,Department of Health and Human Services,MASON HARRIMAN GROUP INC.,165658,CREDIT BUREAU REPORT SERVICES BHW 97 C 5878,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7526&PIID=75R60224F34005&modNumber=P00003&idvAgencyID=&idvPIID=75R60223A00026&contractType=AWARD,3/20/2025,0,7526,75R60224F34005,P00003,7526,75R60223A00026,P00003,03/19/2025,06/24/2024,06/23/2025,06/23/2025,,0.0,165658.0,0.0,165658.0,0.0,165658.0,NAP1G9CKE5R9,MASON HARRIMAN GROUP INC.,,353N1,23 PHYLLIS LN,,FAIRFIELD,NJ,070042320,USA,UNITED STATES,(201) 962-6413,(571) 357-1073,NEW JERSEY 11,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,541611.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,NJ,,USA,ESSEX,FAIRFIELD,,07004,2320.0,,2025-04-04-0017
75P00121P00084,Department of Health and Human Services,"POLITICO, LLC",104835,POLITICO PRO SUBSCRIPTION,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7570&PIID=75P00121P00084&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=AWARD,3/20/2025,25874,7570,75P00121P00084,P00005,,,,03/05/2025,06/25/2021,03/05/2025,03/05/2025,,0.0,78961.21,0.0,78961.21,0.0,104834.79,T8JGE1LE8933,"POLITICO, LLC",,7GC29,1000 WILSON BLVD 8TH FLOOR,,ARLINGTON,VA,222093927,USA,UNITED STATES,(571) 392-2935,,VIRGINIA 08,DC10,IT AND TELECOM - DATA CENTER AS A SERVICE,511210.0,SOFTWARE PUBLISHERS,VA,,USA,ARLINGTON,ARLINGTON,,22209,3927.0,,2025-04-04-0017
70FA6022F00000055,Department of Homeland Security,STRATEGIC RESOLUTION EXPERTS INC,11716567,THE PURPOSE OF THIS EFFORT IS TO SUPPORT THE OFFICE OF ENVIRONMENTAL PLANNING AND HISTORICAL PRESERVATION AND INCLUDES CONTRACTOR SUPPORT SERVICES TO ADVANCE THE ENVIRONMENTAL AND HISTORIC PRESERVATION FUNCTION,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7022&PIID=70FA6022F00000055&modNumber=P00007&idvAgencyID=&idvPIID=70FA4021A00000023&contractType=AWARD,3/20/2025,4693578,7022,70FA6022F00000055,P00007,7022,70FA4021A00000023,P00009,03/19/2025,09/29/2022,03/19/2025,03/19/2025,09/19/2022,0.0,7022989.08,0.0,7022989.08,0.0,11716567.08,ZS2EM2ZWKHF8,STRATEGIC RESOLUTION EXPERTS INC,,4WL30,778 VEGAS VALLEY DRIVE,,LAS VEGAS,NV,891091529,USA,UNITED STATES,(304) 279-4018,(888) 283-4367,NEVADA 01,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,541611.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,DC,,USA,DISTRICT OF COLUMBIA,WASHINGTON,,20472,3198.0,,2025-04-04-0017
20341524C00001,Department of Treasury,"ICE DATA SERVICES, INC.",258125,ICE CLIMATE DATA SUBSCRIPTION,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20341524C00001&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,3/20/2025,0,2036,20341524C00001,P00004,,,,03/19/2025,02/21/2024,03/19/2025,03/19/2025,09/18/2023,0.0,258125.0,0.0,258125.0,-765626.0,258125.0,MSJJVNLQM3J6,"ICE DATA SERVICES, INC.",,34MN1,3955 POINT EDEN WAY,,HAYWARD,CA,945453720,USA,UNITED STATES,(770) 835-0176,,CALIFORNIA 14,7630,NEWSPAPERS AND PERIODICALS,518210.0,"COMPUTING INFRASTRUCTURE PROVIDERS, DATA PROCESSING, WEB HOSTING, AND RELATED SERVICES",GA,,USA,FULTON,ATLANTA,,30328,5800.0,,2025-04-04-0017
20346621F00001,Department of Treasury,WEST PUBLISHING CORPORATION,95123,ENHANCED WEB-BASED INVESTIGATIVE PLATFORM THAT ALLOWS INVESTIGATORS AND ANALYSTS TO EASILY ACCESS BILLIONS OF PUBLIC RECORDS AND ADDITIONAL INVESTIGATIVE CONTENT IN AN INTUITIVE WORKING ENVIRONMENT,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20346621F00001&modNumber=P00012&idvAgencyID=&idvPIID=03310318DL19C0015&contractType=AWARD,3/20/2025,0,2036,20346621F00001,P00012,0300,03310318DL19C0015,0,03/19/2025,04/01/2021,03/19/2025,03/21/2025,,0.0,95123.1,0.0,95123.1,-31785.74,95123.1,L997DB4PEJL8,WEST PUBLISHING CORPORATION,,89101,610 OPPERMAN DR,,EAGAN,MN,551231340,USA,UNITED STATES,(651) 244-3819,(800) 704-9378,MINNESOTA 02,7630,NEWSPAPERS AND PERIODICALS,519190.0,ALL OTHER INFORMATION SERVICES,MN,,USA,DAKOTA,SAINT PAUL,,55123,1340.0,,2025-04-04-0017
693JJ324P000037,Department of Transportation,"BLOOMBERG INDUSTRY GROUP, INC.",123219,SUBSCRIPTION-BASED SERVICE THAT PROVIDES COMPREHENSIVE INFORMATION AND ANALYTICS FOR POLICY PROFESSIONALS.,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6925&PIID=693JJ324P000037&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,3/20/2025,100014,6925,693JJ324P000037,P00001,,,,03/19/2025,08/06/2024,02/14/2025,02/14/2025,07/10/2024,0.0,23205.0,0.0,23205.0,0.0,123219.0,KG5PWYBKVCA5,"BLOOMBERG INDUSTRY GROUP, INC.",,9Z734,"1801, SOUTH BELL STREET",,ARLINGTON,VA,222024506,USA,UNITED STATES,(202) 416-3521,,VIRGINIA 08,DH01,"IT AND TELECOM - PLATFORM SUPPORT SERVICES: DATABASE, MAINFRAME, MIDDLEWARE (LABOR)",516110.0,RADIO BROADCASTING STATIONS,VA,,USA,ARLINGTON,ARLINGTON,,22202,4506.0,,2025-04-04-0017
36C25722F0133,Department of Veterans Affairs,"STAFFORD CONSULTING COMPANY, INC.",4185761,CONTRACT SUPPORT SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C25722F0133&modNumber=P00008&idvAgencyID=&idvPIID=GS00F283GA&contractType=AWARD,3/20/2025,1957357,3600,36C25722F0133,P00008,4732,GS00F283GA,PA0034,03/19/2025,09/30/2022,03/04/2025,03/04/2025,08/11/2022,-563615.78,2228403.72,-563615.78,2228403.72,-563615.78,4185761.16,GMQFM999K2E5,"STAFFORD CONSULTING COMPANY, INC.",,6JNW1,1765 GREENSBORO STATION PL,STE 900,MC LEAN,VA,221023470,USA,UNITED STATES,(301) 502-8967,(256) 325-0418,VIRGINIA 11,R699,SUPPORT- ADMINISTRATIVE: OTHER,541611.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,VA,,USA,FAIRFAX,MCLEAN,,22102,2945.0,,2025-04-04-0017
2031ZA25F00165,Department of Treasury,BLACKMERE TALENT ACQUISITION & CONSULTING LLC,45076,BPA CALL - HEAD HUNTER SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2041&PIID=2031ZA25F00165&modNumber=P00001&idvAgencyID=&idvPIID=2031ZA24A00015&contractType=AWARD,3/20/2025,0,2041,2031ZA25F00165,P00001,2041,2031ZA24A00015,0,03/19/2025,01/07/2025,03/25/2025,03/25/2025,,0.0,45076.0,0.0,45076.0,0.0,45076.0,NP91M2JFAFN6,BLACKMERE TALENT ACQUISITION & CONSULTING LLC,,6RCL4,303 COOPERS CROWN LN,,AUSTIN,TX,787381803,USA,UNITED STATES,(208) 520-9806,(208) 520-9806,TEXAS 10,R499,SUPPORT- PROFESSIONAL: OTHER,541330.0,ENGINEERING SERVICES,TX,,USA,TRAVIS,AUSTIN,,78738,1803.0,,2025-04-04-0017
1331L523F13160554,Department of Commerce,POLITICO LLC,35185,BIS POLITICOPRO SUBSCRIPTION SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1301&PIID=1331L523F13160554&modNumber=P25002&idvAgencyID=&idvPIID=03310323D0056&contractType=AWARD,3/20/2025,18655,1301,1331L523F13160554,P25002,0300,03310323D0056,0,03/19/2025,09/01/2023,08/31/2025,08/31/2027,,0.0,16530.0,0.0,16530.0,0.0,35185.0,T8JGE1LE8933,POLITICO LLC,,7GC29,1000 WILSON BLVD,8TH FLOOR,ARLINGTON,VA,222093927,USA,UNITED STATES,(571) 392-2935,,VIRGINIA 08,R701,SUPPORT- MANAGEMENT: ADVERTISING,519290.0,WEB SEARCH PORTALS AND ALL OTHER INFORMATION SERVICES,DC,,USA,DISTRICT OF COLUMBIA,WASHINGTON,,20230,3.0,,2025-04-04-0017
47QFDA23F0010,General Services Administration,"ICF INCORPORATED, L.L.C.",2877074,EPA BPA TASK ORDER 09 AGAINST ID11210010,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=4732&PIID=47QFDA23F0010&modNumber=P00011&idvAgencyID=&idvPIID=47QFDA21A0006&contractType=AWARD,3/20/2025,206939,4732,47QFDA23F0010,P00011,4732,47QFDA21A0006,P00004,01/10/2025,01/17/2023,03/14/2025,03/14/2025,12/01/2022,0.0,2670135.74,0.0,2699518.23,0.0,2877074.34,QHBLBNKKV4U3,"ICF INCORPORATED, L.L.C.",,5M571,9300 LEE HWY,,FAIRFAX,VA,220316050,USA,UNITED STATES,(703) 934-3484,(703) 218-2547,VIRGINIA 11,R499,SUPPORT- PROFESSIONAL: OTHER,541611.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,DC,,USA,DISTRICT OF COLUMBIA,WASHINGTON,,20460,1.0,,2025-04-04-0017
693JJ422F00031N,Department of Transportation,POWELL CONSULTING GROUP,61292,HALF-DAY VIRTUAL CONFERENCE IN SUPPORT OF THE FMCSA MENTORING PROGRAM.,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6953&PIID=693JJ422F00031N&modNumber=P00004&idvAgencyID=&idvPIID=GS10F0475X&contractType=AWARD,3/20/2025,0,6953,693JJ422F00031N,P00004,4732,GS10F0475X,PS0018REREPSMALLBUSS,03/19/2025,06/17/2022,03/19/2025,03/19/2025,06/03/2022,0.0,61292.2,0.0,61292.2,0.0,61292.2,UNGKV9ZLQTF9,POWELL CONSULTING GROUP,,0SDS8,4801 RUSSELL AVE,,HYATTSVILLE,MD,207823314,USA,UNITED STATES,(301) 864-4232,(301) 864-4493,MARYLAND 04,U009,EDUCATION/TRAINING- GENERAL,541611.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,DC,,USA,DISTRICT OF COLUMBIA,WASHINGTON,,20590,1.0,,2025-04-04-0017
